Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,58407476.0,4.6115634e-05,1310031000000000.0,0.14455508,0.0003,0.29999995,0.0049999994,1191.0,1200.0,-525.5999876558781,-525.5999876558781,1.0
3000,51223050.0,4.6119458e-05,830903430000000.0,0.13924906,0.0003,0.29999995,0.0049999994,742.0,1200.0,544.2499975785613,544.2499975785613,1.0
4000,45494652.0,4.612161e-05,489790550000000.0,0.13566513,0.00030000007,0.29999995,0.0049999994,1200.0,1200.0,341.9999940395355,341.9999940395355,1.0
5000,45531380.0,4.6119298e-05,314701800000000.0,0.1377632,0.0003,0.29999995,0.0049999994,None,None,None,None,1.0
6000,37715950.0,4.611986e-05,225106890000000.0,0.13626477,0.0003,0.29999995,0.0049999994,640.0,1200.0,272.74999874830246,272.74999874830246,1.0
7000,34998188.0,4.6118254e-05,220792730000000.0,0.13341814,0.0003,0.29999995,0.0049999994,1200.0,1200.0,747.7999817728996,747.7999817728996,1.0
8000,30353968.0,4.6118752e-05,130862680000000.0,0.14445959,0.00030000007,0.29999995,0.0049999994,729.0,1200.0,791.8499929606915,791.8499929606915,1.0
9000,28592818.0,4.611724e-05,154822230000000.0,0.13344896,0.0003,0.29999995,0.0049999994,None,None,None,None,1.0
10000,25295552.0,4.611703e-05,139364560000000.0,0.13567105,0.0003,0.29999995,0.0049999994,638.5,1200.0,8.749998390674591,8.749998390674591,1.0
11000,21121328.0,4.6117504e-05,94664620000000.0,0.13567513,0.0003,0.29999995,0.0049999994,701.0,1200.0,-241.6999961733818,-241.6999961733818,1.0
12000,19308716.0,4.6124427e-05,98594800000000.0,0.14326125,0.0003,0.29999995,0.0049999994,924.0,1200.0,1342.6999893784523,1342.6999893784523,1.0
13000,17348456.0,4.6114586e-05,84016150000000.0,0.12928735,0.0003,0.29999995,0.0049999994,862.0,1200.0,14.899999856948853,14.899999856948853,1.0
14000,13288266.0,4.6118003e-05,98034105000000.0,0.13774036,0.0003,0.29999995,0.0049999994,1153.0,1200.0,-773.2999946922064,-773.2999946922064,1.0
15000,11130702.0,4.6118967e-05,52779800000000.0,0.13993788,0.00030000007,0.29999995,0.0049999994,643.0,1199.75,577.4999973028898,577.4999973028898,1.0
16000,8535768.0,4.6118443e-05,68742470000000.0,0.139207,0.0003,0.29999995,0.0049999994,642.5,1199.5021565965326,-143.10000371932983,-143.10000371932983,1.0
17000,8236504.5,4.611808e-05,48680418000000.0,0.14176999,0.0003,0.29999995,0.0049999994,None,None,61.0,61.0,1.0
18000,6672379.5,4.6471938e-05,30976558000000.0,0.13391846,0.0003,0.29999995,0.0049999994,993.5,1199.5050182814887,91.49999815225601,91.49999815225601,1.0
19000,4567430.5,4.61185e-05,51333340000000.0,0.14020735,0.0003,0.29999995,0.0049999994,None,None,-20.600000143051147,-20.600000143051147,1.0
20000,4094827.2,4.6120706e-05,25489820000000.0,0.13026011,0.0003,0.29999995,0.0049999994,635.5,1199.5078635171026,169.7499998509884,169.7499998509884,1.0
21000,2437844.8,4.611978e-05,34894970000000.0,0.14290264,0.0003,0.29999995,0.0049999994,1200.0,1199.5085727772378,-2406.6999849677086,-2406.6999849677086,1.0
22000,2567803.5,4.611748e-05,40046800000000.0,0.12325885,0.00030000007,0.29999995,0.0049999994,703.0,1199.5085727772378,447.5999968647957,447.5999968647957,1.0
23000,2885983.5,4.611961e-05,28346306000000.0,0.12937684,0.0003,0.29999995,0.0049999994,1199.0,1199.5085727772378,-92.80000014603138,-92.80000014603138,1.0
24000,2185747.0,4.6121266e-05,22135343000000.0,0.13897723,0.00030000007,0.29999995,0.0049999994,927.0,1199.5085727772378,232.6999968290329,232.6999968290329,1.0
25000,2239596.2,4.6119654e-05,29014719000000.0,0.13684937,0.0003,0.29999995,0.0049999994,657.5,1199.5085727772378,62.04999499022961,62.04999499022961,1.0
26000,2443863.5,4.611659e-05,32345042000000.0,0.1317566,0.00030000007,0.29999995,0.0049999994,1200.0,1199.5085727772378,6657.79993057251,6657.79993057251,1.0
27000,2338021.5,4.6117155e-05,46625380000000.0,0.13496384,0.0003,0.29999995,0.0049999994,346.0,1199.5085727772378,1607.1999855041504,1607.1999855041504,1.0
28000,3061203.5,4.6122404e-05,21301210000000.0,0.123047575,0.00029999999,0.29999998,0.0049999994,745.0,1199.5085727772378,4151.399958610535,4151.399958610535,1.0
29000,2674560.2,4.611899e-05,20116589000000.0,0.15435474,0.00030000007,0.29999995,0.0049999994,1200.0,1199.5085727772378,5374.399932861328,5374.399932861328,1.0
30000,2059183.9,4.611867e-05,10325417000000.0,0.1344341,0.00029999999,0.29999998,0.0049999994,150.0,1199.5085727772378,550.7999877929688,550.7999877929688,1.0
31000,2443356.5,4.6119956e-05,14432342000000.0,0.13594007,0.0003,0.29999995,0.0049999994,628.5,1199.2606923979256,2959.0999760329723,2959.0999760329723,1.0
32000,2624840.5,4.6118497e-05,17937240000000.0,0.14423606,0.0003,0.29999995,0.0049999994,678.5,1198.765661580079,168.39999741315842,168.39999741315842,1.0
33000,2177396.5,4.6118705e-05,15431344000000.0,0.14392811,0.0003,0.29999995,0.0049999994,1091.0,1198.5213482659042,-1.9999994039535522,-1.9999994039535522,1.0
34000,1843406.5,4.612041e-05,17294537000000.0,0.1340172,0.00030000007,0.29999995,0.0049999994,1196.0,1198.5256040649267,-660.4999920129776,-660.4999920129776,1.0
35000,1759080.4,4.6118712e-05,9369626000000.0,0.132355,0.0003,0.29999995,0.0049999994,1076.0,1198.52984761566,None,None,1.0
36000,1015772.44,4.611742e-05,7889523600000.0,0.13767958,0.0003,0.29999995,0.0049999994,None,None,-547.7000032067299,-547.7000032067299,1.0
37000,898763.2,4.611954e-05,11379489000000.0,0.13663098,0.00029999999,0.29999998,0.0049999994,644.5,1198.536188533245,20.450001120567322,20.450001120567322,1.0
38000,1028473.06,4.611835e-05,8113076000000.0,0.14973655,0.0003,0.29999995,0.0049999994,772.5,1198.5446025845856,-180.84999990090728,-180.84999990090728,1.0
39000,853869.1,4.611887e-05,5637101000000.0,0.13876274,0.00029999999,0.29999998,0.0049999994,773.0,1198.5508828750465,-1025.9999876618385,-1025.9999876618385,1.0
40000,572996.3,4.6122615e-05,10585008000000.0,0.12970065,0.00030000007,0.29999995,0.0049999994,1200.0,1198.555053672667,-399.3999915122986,-399.3999915122986,1.0
41000,509243.0,4.611839e-05,7101688000000.0,0.13684422,0.00029999999,0.29999998,0.0049999994,820.0,1198.555053672667,120.899997651577,120.899997651577,1.0
42000,-220554.06,4.6121193e-05,6747098000000.0,0.13582861,0.0003,0.29999995,0.0049999994,1199.0,1198.555053672667,165.2000062018633,165.2000062018633,1.0
43000,-336732.94,4.6121328e-05,4347861700000.0,0.1272164,0.00030000007,0.29999995,0.0049999994,None,None,None,None,1.0
44000,275286.1,4.6120243e-05,7143453400000.0,0.1450181,0.00029999999,0.29999998,0.0049999994,671.0,1198.555053672667,87.13333400090535,87.13333400090535,1.0
