Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
47000,-1097970.0,6251813.0,4.9429415e-05,7013866000000.0,0.1415625,0.00030000007,0.29999995,0.0049999994,28.221771,0.6663603,0.53545165,6000.0,1200.0,-686.8933346569538,-549.5146645829082,37783.454767608615,1.0
48000,-795960.06,5239333.0,4.9413684e-05,4811372000000.0,0.1315535,0.0003,0.29999995,0.0049999994,29.934689,0.7824235,0.54524195,1383.0,1199.5,-413.73134592175484,-330.98507618159056,9001.071147155764,1.0
49000,2006469.4,3509297.5,4.9406484e-05,5511406000000.0,0.13470112,0.0003,0.29999995,0.0049999994,28.935244,0.7250279,0.5498539,None,None,None,None,None,1.0
50000,1130696.4,1919225.8,4.939157e-05,7257065500000.0,0.1415008,0.00030000007,0.29999995,0.0049999994,27.153013,0.6075368,0.54293597,None,None,None,None,None,1.0
51000,751696.25,1402111.2,4.9414244e-05,2180649800000.0,0.13326205,0.00030000007,0.29999995,0.0049999994,31.303173,0.86764705,0.545562,None,None,None,None,None,1.0
52000,59697130.0,-34768480.0,4.948832e-05,126543160000000.0,0.13985169,0.00030000007,0.29999995,0.0049999994,20.522503,0.1920956,0.53886557,None,None,None,None,None,1.0
53000,17023828.0,-20029316.0,4.9411716e-05,308535920000000.0,0.14597604,0.00030000007,0.29999995,0.0049999994,30.970903,0.8419118,0.54044116,None,None,None,None,None,1.0
54000,1811586.0,3876439.5,4.9405553e-05,4423334000000.0,0.13542381,0.00030000007,0.29999995,0.0049999994,29.804798,0.7693015,0.54017854,5999.0,1199.5,-718.1870635449886,-574.5496612563729,38960.002762603726,1.0
55000,1637988.4,4331825.0,4.9398666e-05,1004135650000.0,0.13429688,0.0003,0.29999995,0.0049999994,30.630436,0.8289621,0.54861474,None,None,None,None,None,1.0
56000,1351225.6,4027453.0,4.9403745e-05,715313400000.0,0.13090362,0.0003,0.29999995,0.0049999994,26.406342,0.5463416,0.5280659,1184.0,1199.5,-1126.746243068017,-901.3969948063605,7547.125505757335,1.0
57000,938872.9,3499185.0,4.940931e-05,427841850000.0,0.13052991,0.00030000007,0.29999995,0.0049999994,29.201641,0.74540436,0.5537027,None,None,None,None,None,1.0
58000,965169.4,3731637.5,4.9418642e-05,764768300000.0,0.13034943,0.00030000007,0.29999995,0.0049999994,28.350868,0.6838235,0.5449055,None,None,None,None,None,1.0
59000,20249890.0,-12131488.0,4.9456397e-05,93938730000000.0,0.13090052,0.00030000007,0.29999995,0.0049999994,28.143467,0.6755515,0.54950106,None,None,None,None,None,1.0
60000,4922809.5,-6290086.5,4.939205e-05,17585996000000.0,0.12685478,0.00030000007,0.29999995,0.0049999994,30.518007,0.8161765,0.5428046,None,None,None,None,None,1.0
61000,2150862.0,652229.06,4.9409853e-05,4544750700000.0,0.13814224,0.00030000007,0.29999995,0.0049999994,28.843979,0.71231616,0.5428046,None,None,None,None,None,1.0
62000,1742209.2,620167.2,4.9399907e-05,4761460000000.0,0.13750938,0.0003,0.29999995,0.0049999994,27.564379,0.63855696,0.54843426,6000.0,1199.5,2449.0067090839148,1959.2054133340716,40184.37804291246,1.0
63000,1943903.0,-728607.6,4.942889e-05,2476503500000.0,0.12215769,0.0003,0.29999995,0.0049999994,26.485704,0.5644121,0.54121256,1382.0,1199.5,-204.11687859520316,-163.29350344464183,8723.673606753353,1.0
64000,154329.58,646569.6,4.9386937e-05,587022500000.0,0.13220456,0.00030000007,0.29999995,0.0049999994,31.709509,0.8897059,0.54241073,None,None,None,None,None,1.0
65000,19108184.0,-11185714.0,4.94152e-05,25782934000000.0,0.136342,0.00030000007,0.29999995,0.0049999994,25.269466,0.5018382,0.55409664,None,None,None,None,None,1.0
